id,term,def
,ASCII,"[originally an acronym (American Standard Code for Information Interchange) but now merely conventional] The predominant character set encoding of present-day computers. The standard version uses 7 bits for each character, whereas most earlier codes (including early drafts of ASCII prior to June 1961) used fewer. This change allowed the inclusion of lowercase letters — a major [[bu;#fff;;jargon]win] — but it did not provide for accented letters or any other letterforms not used in English (such as the German sharp-S ß. or the ae-ligature æ which is a letter in, for example, Norwegian). It could be worse, though. It could be much worse. See [[bu;#fff;;jargon]EBCDIC] to understand how. A history of ASCII and its ancestors is at http://www.wps.com/texts/codes/index.html.Computers are much pickier and less flexible about spelling than humans; thus, hackers need to be very precise when talking about characters, and have developed a considerable amount of verbal shorthand for them. Every character has one or more names — some formal, some concise, some silly. Common jargon names for ASCII characters are collected here. See also individual entries for [[bu;#fff;;jargon]bang], [[bu;#fff;;jargon]excl], [[bu;#fff;;jargon]open], [[bu;#fff;;jargon]ques], [[bu;#fff;;jargon]semi], [[bu;#fff;;jargon]shriek], [[bu;#fff;;jargon]splat], [[bu;#fff;;jargon]twiddle], and [[bu;#fff;;jargon]Yu-Shiang Whole Fish].This list derives from revision 2.3 of the Usenet ASCII pronunciation guide. Single characters are listed in ASCII order; character pairs are sorted in by first member. For each character, common names are given in rough order of popularity, followed by names that are reported but rarely seen; official ANSI/CCITT names are surrounded by brokets: <>. Square brackets mark the particularly silly names introduced by [[bu;#fff;;jargon]INTERCAL]. The abbreviations [[i;;]l/r] and [[i;;]o/c] stand for left/right and [[i;;]open/close] respectively. Ordinary parentheticals provide some usage information.The pronunciation of # as ‘pound’ is common in the U.S. but a bad idea; [[bu;#fff;;jargon]Commonwealth Hackish] has its own, rather more apposite use of ‘pound sign’ (confusingly, on British keyboards the £ happens to replace #; thus Britishers sometimes call # on a U.S.-ASCII keyboard ‘pound’, compounding the American error). The U.S. usage derives from an old-fashioned commercial practice of using a # suffix to tag pound weights on bills of lading. The character is usually pronounced ‘hash’ outside the U.S. There are more culture wars over the correct pronunciation of this character than any other, which has led to the [[bu;#fff;;jargon]ha ha only serious] suggestion that it be pronounced [[i;;]shibboleth] (see Judges 12:6 in an Old Testament or Tanakh).The ‘uparrow’ name for circumflex and ‘leftarrow’ name for underline are historical relics from archaic ASCII (the 1963 version), which had these graphics in those character positions rather than the modern punctuation characters.The ‘swung dash’ or ‘approximation’ sign (∼) is not quite the same as tilde ~ in typeset material, but the ASCII tilde serves for both (compare [[bu;#fff;;jargon]angle brackets]). Some other common usages cause odd overlaps. The #, $, >, and & characters, for example, are all pronounced [[i;;]hex] in different communities because various assemblers use them as a prefix tag for hexadecimal constants (in particular, # in many assembler-programming cultures, $ in the 6502 world, > at Texas Instruments, and & on the BBC Micro, Sinclair, and some Z80 machines). See also [[bu;#fff;;jargon]splat].The inability of ASCII text to correctly represent any of the world's other major languages makes the designers' choice of 7 bits look more and more like a serious [[bu;#fff;;jargon]misfeature] as the use of international networks continues to increase (see [[bu;#fff;;jargon]software rot]). Hardware and software from the U.S. still tends to embody the assumption that ASCII is the universal character set and that characters have 7 bits; this is a major irritant to people who want to use a character set suited to their own languages. Perversely, though, efforts to solve this problem by proliferating ‘national’ character sets produce an evolutionary pressure to use a [[b;#fff;]smaller] subset common to all those in use."
,"ASCII art","The fine art of drawing diagrams using the ASCII character set (mainly |, -, /, \, and +). Also known as [[b;#fff;]character graphics] or [[b;#fff;]ASCII graphics]; see also [[bu;#fff;;jargon]boxology]. Here is a serious example:And here are some very silly examples:There is an important subgenre of ASCII art that puns on the standard character names in the fashion of a rebus.Within humorous ASCII art, there is for some reason an entire flourishing subgenre of pictures of silly cows. Four of these are reproduced in the examples above, here are three more:Finally, here's a magnificent example of ASCII art depicting an Edwardian train station in Dunedin, New Zealand:The next step beyond static tableaux in ASCII art is ASCII animation. There are not many large examples of this; perhaps the best known is the ASCII animation of the original Star Wars movie at http://www.asciimation.co.nz/.There is a newsgroup, alt.ascii-art, devoted to this genre; however, see also [[bu;#fff;;jargon]warlording]."
,"ASCIIbetical order","Used to indicate that data is sorted in ASCII collated order rather than alphabetical order. This lexicon is sorted in something close to ASCIIbetical order, but with case ignored and entries beginning with non-alphabetic characters moved to the beginning."
,astroturfing,"1. The use of paid shills to create the impression of a popular movement, through means like letters to newspapers from soi-disant ‘concerned citizens’, paid opinion pieces, and the formation of grass-roots lobbying groups that are actually funded by a PR group (AstroTurf is fake grass; hence the term). See also [[bu;#fff;;jargon]sock puppet], [[bu;#fff;;jargon]tentacle]. 2. What an individual posting to a public forum under an assumed name is said to be doing.This term became common among hackers after it came to light in early 1998 that Microsoft had attempted to use such tactics to forestall the U.S. Department of Justice's antitrust action against the company. The maneuver backfired horribly, angering a number of state attorneys-general enough to induce them to go public with plans to join the Federal suit. It also set anybody defending Microsoft on the net for the accusation [[i;;]You're just astroturfing!]."
,atomic,"[from Gk. atomos, indivisible] 1. Indivisible; cannot be split up. For example, an instruction may be said to do several things ‘atomically’, i.e., all the things are done immediately, and there is no chance of the instruction being half-completed or of another being interspersed. Used esp. to convey that an operation cannot be screwed up by interrupts. [[i;;]This routine locks the file and increments the file's semaphore atomically.] 2. [primarily techspeak] Guaranteed to complete successfully or not at all, usu. refers to database transactions. If an error prevents a partially-performed transaction from proceeding to completion, it must be [[i;;]backed out], as the database must not be left in an inconsistent state.Computer usage, in either of the above senses, has none of the connotations that ‘atomic’ has in mainstream English (i.e. of particles of matter, nuclear explosions etc.)."
,attoparsec,"About an inch. atto- is the standard SI prefix for multiplication by 10-18. A parsec (parallax-second) is 3.26 light-years; an attoparsec is thus 3.26 × 10-18 light years, or about 3.1 cm (thus, 1 attoparsec/[[bu;#fff;;jargon]microfortnight] equals about 1 inch/sec). This unit is reported to be in use (though probably not very seriously) among hackers in the U.K. See [[bu;#fff;;jargon]micro-]."
,"Aunt Tillie","[linux-kernel mailing list] The archetypal non-technical user, one's elderly and scatterbrained maiden aunt. Invoked in discussions of usability for people who are not hackers and geeks; one sees references to the [[i;;]Aunt Tillie test]."
,AUP,"Abbreviation, [[i;;]Acceptable Use Policy]. The policy of a given ISP which sets out what the ISP considers to be (un)acceptable uses of its Internet resources."
,autobogotiphobia,"[[b;#fff;]n.] See [[bu;#fff;;jargon]bogotify]."
,autoconfiscate,"To set up or modify a source-code [[bu;#fff;;jargon]distribution] so that it configures and builds using the GNU project's autoconf/automake/libtools suite. Among open-source hackers, a mere running binary of a program is not considered a full release; what's interesting is a source tree that can be built into binaries using standard tools. Since the mid-1990s, autoconf and friends been the standard way to adapt a distribution for portability so that it can be built on multiple operating systems without change."
,automagically,"Automatically, but in a way that, for some reason (typically because it is too complicated, or too ugly, or perhaps even too trivial), the speaker doesn't feel like explaining to you. See [[bu;#fff;;jargon]magic]. [[i;;]The C-INTERCAL compiler generates C, then automagically invokes cc1 to produce an executable.]This term is quite old, going back at least to the mid-70s in jargon and probably much earlier. The word ‘automagic’ occurred in advertising (for a shirt-ironing gadget) as far back as the late 1940s."
